,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@alx That turned out to be um … inaccurate,39756,2817,2023-01-23 16:37:47+00:00
1,elonmusk,@JonErlichman Good thread,9444,349,2023-01-23 16:33:27+00:00
2,elonmusk,@billysteeler85 @NicoleBehnam That too,1169,62,2023-01-23 06:13:28+00:00
3,elonmusk,"@NicoleBehnam I don’t like the taste or effects of most alcohol, but there is something quite beautiful about red wine in a fine glass",79668,3704,2023-01-23 06:08:14+00:00
4,elonmusk,@MarioNawfal It can summarized with one emoji: 😴,33597,1919,2023-01-23 05:52:50+00:00
5,elonmusk,@unusual_whales !,27915,1703,2023-01-23 05:00:58+00:00
6,elonmusk,@WholeMarsBlog Maybe one day,15244,575,2023-01-23 05:00:38+00:00
7,elonmusk,@SmokeAwayyy Big year for AI,21657,1890,2023-01-23 04:58:48+00:00
8,elonmusk,@NicoleBehnam 🤣,7994,260,2023-01-23 04:54:34+00:00
9,elonmusk,@MuskUniversity Major respect for the makers,31019,1368,2023-01-23 02:27:37+00:00
10,elonmusk,"@WallStreetSilv @SRSroccoReport No change in copper production is required for the transition to sustainable energy. 

Lithium refinement needs to increase dramatically, but lithium ore itself is extremely common throughout Earth.",25908,2267,2023-01-22 23:09:03+00:00
11,elonmusk,@mtaibbi Another case of parody &amp; reality being indistinguishable,47367,2859,2023-01-22 23:05:51+00:00
12,elonmusk,@emollick Wow,9056,389,2023-01-22 23:03:16+00:00
13,elonmusk,"@cb_doge @Tesla @mayemusk Wow, lot has happened in 13 years",47391,1489,2023-01-22 19:57:28+00:00
14,elonmusk,@BillyM2k yeah,21808,711,2023-01-22 11:40:09+00:00
15,elonmusk,@cb_doge Busted,152051,3987,2023-01-22 10:42:04+00:00
16,elonmusk,@alx !!,26574,1355,2023-01-22 10:31:10+00:00
17,elonmusk,@BillyM2k One of my favorite features,3538,226,2023-01-22 10:30:07+00:00
18,elonmusk,@WholeMarsBlog Probably a good idea,2895,195,2023-01-22 10:21:20+00:00
19,elonmusk,@TheRabbitHole84 !!,3802,298,2023-01-22 04:35:01+00:00
20,elonmusk,@BillFOXLA @FoxNews Where have they *not* found classified documents? That might be a shorter list.,123271,12358,2023-01-22 02:30:29+00:00
21,elonmusk,@DrNickA True,22371,1055,2023-01-22 00:26:55+00:00
22,elonmusk,@ashleevance https://t.co/5wtmeY5oQn,21159,721,2023-01-22 00:09:28+00:00
23,elonmusk,"@WallStreetSilv @CommunityNotes We are going to great lengths to avoid the Wikipedia left wing editorial control problem. By the same token, Community Notes cannot be biased towards the right either. Maximizing for truth is the goal.",11530,1041,2023-01-22 00:06:35+00:00
24,elonmusk,@JonErlichman Always liked that design,80995,2127,2023-01-22 00:01:08+00:00
25,elonmusk,@ahmadtariq07 @Fidias0 True,16091,214,2023-01-21 22:50:41+00:00
26,elonmusk,🤗 https://t.co/9q0ZOUa1ZY,170031,10307,2023-01-21 22:49:04+00:00
27,elonmusk,@jgebbia 🤣,4586,156,2023-01-21 22:46:36+00:00
28,elonmusk,@WallStreetSilv @dogeofficialceo @TheRabbitHole84 @WholeMarsBlog @BillyM2k lmao,5687,340,2023-01-21 19:28:56+00:00
29,elonmusk,"@tyromper Yeah, we’re thinking hard about this",4844,229,2023-01-21 18:28:19+00:00
30,elonmusk,@PeterDiamandis Absolutely. Freedom means freedom to die when you are sure that you want to.,55240,3489,2023-01-21 18:09:15+00:00
31,elonmusk,@TheRabbitHole84 Notes must stay pure.,2916,140,2023-01-21 18:07:38+00:00
32,elonmusk,@ScottAdamsSays @Dilbert_Daily 🤣,6358,286,2023-01-21 18:05:20+00:00
33,elonmusk,@giano That’s the plan!,8300,327,2023-01-21 17:54:43+00:00
34,elonmusk,@TheRabbitHole84 Maybe there’s a way to do this by placing an ad below tweet details,3328,175,2023-01-21 17:51:04+00:00
35,elonmusk,"Also, there will be a higher priced subscription that allows zero ads",58771,3405,2023-01-21 17:49:22+00:00
36,elonmusk,Ads are too frequent on Twitter and too big. Taking steps to address both in coming weeks.,246261,15044,2023-01-21 17:41:22+00:00
37,elonmusk,@Austen 🤣,8498,251,2023-01-21 17:39:41+00:00
38,elonmusk,"@CollinRugg That is a little delayed, as a key researcher can only travel to Twitter in early Feb",27319,2289,2023-01-21 17:35:01+00:00
39,elonmusk,Je me souviens Pluto 🥹,154075,8897,2023-01-21 09:07:40+00:00
40,elonmusk,@OzraeliAvi Twitter is the source of truth,214923,20161,2023-01-21 08:25:50+00:00
41,elonmusk,@DexterWWinters @ScottAdamsSays Was required to visit Tesla Giga Berlin. Not my choice.,6280,753,2023-01-21 07:59:05+00:00
42,elonmusk,"@unusual_whales The note is incorrect. There are ~2300 active, working employees at Twitter.

There are still hundreds of employees working on trust &amp; safety, along with several thousand contractors. 

Less than 10 people from my other companies are working at Twitter.",24623,2000,2023-01-21 07:57:28+00:00
43,elonmusk,"@peters8620 @stillgray @ScottAdamsSays I had OG C19 before vaccines came out and it was basically a mild cold.

Then had J&amp;J vaccine with no bad effects, except my arm hurt briefly.

First mRNA booster was ok, but the second one crushed me.",12743,2925,2023-01-21 07:53:26+00:00
44,elonmusk,"@ScottAdamsSays And my cousin, who is young &amp; in peak health, had a serious case of myocarditis. Had to go to the hospital.",42348,10039,2023-01-21 07:39:12+00:00
45,elonmusk,@unusual_whales @BillyM2k Yes,3835,158,2023-01-21 07:26:51+00:00
46,elonmusk,"@ScottAdamsSays I had major side effects from my second booster shot. Felt like I was dying for several days. Hopefully, no permanent damage, but I dunno.",155307,25605,2023-01-21 07:22:02+00:00
47,elonmusk,@CommunityNotes Extremely important,3133,177,2023-01-21 07:19:35+00:00
48,elonmusk,@BillyM2k 🤣🤣,5293,213,2023-01-21 07:18:37+00:00
49,elonmusk,@BillyM2k @joshzepps Sigh … I hope Sam becomes his old super rational self again one day,7003,333,2023-01-21 07:18:02+00:00
50,elonmusk,@slashdot Cool,7928,359,2023-01-21 07:02:40+00:00
51,elonmusk,@LayahHeilpern Interesting &amp; entertaining content from around the world is worth seeing,9568,437,2023-01-21 07:00:34+00:00
52,elonmusk,@WorldAndScience 🤣 yeah,1736,76,2023-01-21 06:46:49+00:00
53,elonmusk,@stats_feed Wow,32318,1109,2023-01-21 06:42:57+00:00
54,elonmusk,"@lexfridman Two of the worst possible curses:
- You will live forever
- You can have anything you want",54300,5040,2023-01-21 05:47:36+00:00
55,elonmusk,@WholeMarsBlog Cool,13456,449,2023-01-21 05:18:47+00:00
56,elonmusk,"@TheRightMelissa Back then, George Washington was the “old guy” at age 44!",67110,3361,2023-01-21 03:18:35+00:00
57,elonmusk,"@EvaFoxU @BillyM2k Japan has higher total user-minutes than the USA, so Japan is actually #1",5882,1001,2023-01-21 03:16:04+00:00
58,elonmusk,@teslaownersSV I’m reviewing it next week for possible release,3416,226,2023-01-21 03:13:31+00:00
59,elonmusk,@TimRunsHisMouth Good question,22263,1359,2023-01-21 00:50:16+00:00
60,elonmusk,(Tweets will be translated before being recommended),52679,2935,2023-01-21 00:40:35+00:00
61,elonmusk,@vastblastx Coming feature,3537,175,2023-01-21 00:37:50+00:00
62,elonmusk,There are epic tweets in other countries every day (Japan especially),75940,7260,2023-01-21 00:35:56+00:00
63,elonmusk,"Next Twitter update will remember whether you were on For You (ie recommended), Following or list you made &amp; stop switching you back to recommended tweets",72853,6544,2023-01-21 00:31:38+00:00
64,elonmusk,@cb_doge @APompliano The debt trend is 🤯🤯,3436,271,2023-01-21 00:27:49+00:00
65,elonmusk,"@APompliano More than triple that when you add social security, Medicare &amp; govt pension obligations",38051,2907,2023-01-21 00:26:21+00:00
66,elonmusk,@AdamShawNY Wow,5343,298,2023-01-21 00:22:40+00:00
67,elonmusk,@TaraBull808 Or spending too much time on social media,9012,465,2023-01-21 00:19:14+00:00
68,elonmusk,"In coming months, Twitter will translate &amp; recommend amazing tweets from people in other countries &amp; cultures",284412,24963,2023-01-21 00:18:21+00:00
69,elonmusk,@ryan_pickering_ @welt !!,1456,102,2023-01-21 00:14:10+00:00
70,elonmusk,@rustyrockets @AndrewLawton 🤣,2744,144,2023-01-20 23:43:24+00:00
71,elonmusk,"Exactly! If companies post interesting or entertaining content, they will gain an audience rapidly. https://t.co/0leAmqueHM",32802,3072,2023-01-20 23:23:17+00:00
72,elonmusk,"@DavidSacks I am super pro Ukraine, but relentless escalation is very risky for Ukraine and the world",56671,3952,2023-01-20 23:00:47+00:00
73,elonmusk,@ezralevant Power to the people!,51585,4585,2023-01-20 22:56:43+00:00
74,elonmusk,@teslaownersSV 99% of people still have no idea how profound this is,23884,1099,2023-01-20 22:55:23+00:00
75,elonmusk,"@WallStreetSilv Macron is doing the difficult, but right thing. The retirement age of 62 was set when lifespans were much shorter. It is impossible for a small number of workers to support a massive number of retirees.",92787,5384,2023-01-20 22:50:23+00:00
76,elonmusk,@proetrie 🤣,5622,155,2023-01-20 22:44:23+00:00
77,elonmusk,@BillyM2k @unusual_whales It is actually not true. Employee headcount is almost double that.,5780,366,2023-01-20 22:43:30+00:00
78,elonmusk,@BillyM2k @christinebarnum What are you playing?,5882,290,2023-01-20 21:21:35+00:00
79,elonmusk,@EvaFoxU Cool :),2720,115,2023-01-20 20:48:20+00:00
80,elonmusk,"@TheRabbitHole84 Yes, that will be added in an upcoming release. Also, if your tweet is bookmarked, it will be treated as a “quiet like” and increment your likes counter.",7346,448,2023-01-20 20:35:14+00:00
81,elonmusk,"Major Twitter improvement we just released is that you can now bookmark tweets from tweet details page.

Importantly, bookmarks are *private*, unlike likes. No one other than you can see your bookmarks.",129914,11063,2023-01-20 20:30:40+00:00
82,elonmusk,Twitter app update now available on App Store,136134,10403,2023-01-20 20:20:17+00:00
83,elonmusk,@EvaFoxU True,31133,1019,2023-01-20 20:13:58+00:00
84,elonmusk,@BillyM2k 🥳🥳,3897,176,2023-01-20 20:03:10+00:00
85,elonmusk,"@TitterTakeover Onboarding should have fewer steps, not more, but creating pinned lists should automatically be offered if you swipe past Following. 

Also, we need to offer suggested lists by category, so you can use awesome subject matter lists created by others.",2377,197,2023-01-20 20:02:18+00:00
86,elonmusk,"Use pinned Lists to improve your Twitter experience!

1. Tap Lists on your profile page.
2. Create list of accounts to follow.
3. Tap pin icon. 

This allows you to swipe left/right between For You, Following and Lists.",58665,8590,2023-01-20 19:55:41+00:00
87,elonmusk,"@SawyerMerritt @Tesla Teslas are the safest cars on the road, but most people don’t know that",72138,5550,2023-01-20 19:39:06+00:00
88,elonmusk,@morganisawizard Bolitho also fought in the Battle of the Somme. He was buried alive in a pile of bodies with a broken neck.,6149,268,2023-01-20 19:08:13+00:00
89,elonmusk,@WallStreetSilv Concerning,19300,1029,2023-01-20 18:33:35+00:00
90,elonmusk,@catturd2 @amuse @Twitter This is bizarre. Looking into it.,17956,1277,2023-01-20 18:24:29+00:00
91,elonmusk,@paulg Exactly,8671,415,2023-01-20 16:28:54+00:00
92,elonmusk,"@engineers_feed Ok, maybe a little pontificating",27165,920,2023-01-20 16:06:16+00:00
93,elonmusk,@disclosetv …,34558,1740,2023-01-20 15:48:11+00:00
94,elonmusk,@cb_doge App update has been approved by Apple. Should go out in next day or so.,2221,172,2023-01-20 15:45:00+00:00
95,elonmusk,@mualphaxi The pendulum has swung a bit too far,125778,7158,2023-01-20 05:31:02+00:00
96,elonmusk,"@WallStreetSilv Even if you tax every billionaire in America at 100%, it barely makes a dent in the national debt. In the end, the government will be forced to tax everyone to pay the debt.

Btw, $31T doesn’t include unfunded liabilities, which are *much* higher.",79198,12063,2023-01-20 05:25:17+00:00
97,elonmusk,"@cb_doge @ElijahSchaffer If bots are removed from the system, their likes will be removed too. Are you seeing likes from clearly human accounts disappear?",3387,352,2023-01-20 05:10:01+00:00
98,elonmusk,@ElijahSchaffer Are you still finding engagement to be low?,3825,253,2023-01-20 05:07:43+00:00
99,elonmusk,@teslaownersSV The kind words are appreciated,47225,1712,2023-01-20 04:54:20+00:00
100,elonmusk,@micsolana @teslaownersSV @SjvTesla One of the bot defenses we implemented was flagging any account responding to tweets faster than humanly possible,3995,318,2023-01-20 03:59:54+00:00
101,elonmusk,@stillgray Good question to ask him,20820,1232,2023-01-19 23:31:54+00:00
102,elonmusk,"@teslaownersSV @SjvTesla It is very difficult to stop bots &amp; trolls, while not affecting real users. Won’t be perfect either way, but Twitter is far more resilient to fake accounts than it ever has been.",52408,3623,2023-01-19 21:15:05+00:00
103,elonmusk,"Twitter is arguably already the least wrong source of truth on the Internet, but we obviously still have a long way to go.

Enabling @CommunityNotes to operate at very large scale and providing maximum transparency about how Twitter works are fundamental to building trust.",165768,17370,2023-01-19 21:01:35+00:00
104,elonmusk,"Coming soon are notifications if you’ve replied, liked or retweeted something subsequently corrected by community https://t.co/uBSjJxV7Ww",43905,4881,2023-01-19 20:39:50+00:00
105,elonmusk,@ShellenbergerMD @mgurri The peer-enforced sameness of thought in most of the media is troubling,48447,5574,2023-01-19 19:00:48+00:00
106,elonmusk,"@Js_Makali @financialjuice No, I am wrong too often",4328,244,2023-01-19 18:18:56+00:00
107,elonmusk,"@SenSchumer Trimming some government expenditures would be wise
https://t.co/1EwWyqetir",9660,1118,2023-01-19 18:17:06+00:00
108,elonmusk,@financialjuice Peak oil demand probably happens within the next 5 years,3841,372,2023-01-19 18:14:24+00:00
109,elonmusk,"@financialjuice True, there will be a long tail of usage, but it will peak long before then",17611,830,2023-01-19 18:11:24+00:00
110,elonmusk,@Lukewearechange Ahem …,61510,2598,2023-01-19 18:08:02+00:00
111,elonmusk,@AlecStapp Seriously! It is super important to keep ace players in the United States. Forcing them to work for other countries is so crazy.,21309,1293,2023-01-19 18:07:27+00:00
112,elonmusk,"@teslaownersSV @Tesla @Ford @Rivian @LucidMotors Fed rate increases make cars more expensive for consumers, increasing the difficulty level for automotive companies",20568,1564,2023-01-19 18:03:56+00:00
113,elonmusk,@waitbutwhy 😳,2157,88,2023-01-19 17:59:26+00:00
114,elonmusk,@ggreenwald True,13947,749,2023-01-19 17:28:25+00:00
115,elonmusk,@OzraeliAvi Your critique is spot on,17727,1614,2023-01-19 11:30:03+00:00
116,elonmusk,@esherifftv A lot tbh,44909,1477,2023-01-19 11:08:38+00:00
117,elonmusk,@TheBabylonBee 🤣💯,37370,1349,2023-01-19 11:01:39+00:00
118,elonmusk,🛡️ VE RI TAS 🛡️,252006,21354,2023-01-19 10:54:51+00:00
119,elonmusk,@imcorinnemec lol,6657,202,2023-01-19 09:47:09+00:00
120,elonmusk,@Rainmaker1973 Hope you recover soon. Medical technology could be a lot better.,13507,538,2023-01-19 09:39:55+00:00
121,elonmusk,@levie Sweet dreams,39919,1461,2023-01-19 09:32:47+00:00
122,elonmusk,"@john @fullsendpodcast @joerogan The many ice ages &amp; continental drift give you a feeling for deep time
https://t.co/69DCA4MitL",15314,1004,2023-01-19 08:51:18+00:00
123,elonmusk,@greg_price11 Edelman is a despicable human being – his job is literally being a professional liar!,89251,9565,2023-01-19 08:23:14+00:00
124,elonmusk,@michaeljknowles “Recalibration of free speech”,12688,1433,2023-01-18 23:05:45+00:00
125,elonmusk,"@paulg People can disguise their own morality, but not that of their friends. Birds of a feather …",7168,720,2023-01-18 21:56:52+00:00
126,elonmusk,Great work by Tesla Team! https://t.co/aTu71lNuCl,45057,4187,2023-01-18 20:19:00+00:00
127,elonmusk,"To be clear, I’m not someone who thinks lots of government agencies should be abolished (maybe a few), but we should always question our institutions, as this strengthens the bedrock of democracy.",143985,14489,2023-01-18 18:34:59+00:00
128,elonmusk,Why did American media go from questioning the State and “speaking truth to power” to doing their bidding?,305906,40060,2023-01-18 18:24:13+00:00
129,elonmusk,@BillyM2k @unusual_whales 🤣,6686,229,2023-01-18 18:22:18+00:00
130,elonmusk,"@alx Will be interesting to see how the Biden administration reacts to this. 

They may try to weaponize Federal agencies against Twitter.",122894,12611,2023-01-18 18:18:56+00:00
131,elonmusk,The World Economic Forum should control the world,109952,41622,2023-01-18 16:49:31+00:00
132,elonmusk,@disclosetv WEF is increasingly becoming an unelected world government that the people never asked for and don’t want,248451,54187,2023-01-18 16:44:19+00:00
133,elonmusk,@ggreenwald @megynkelly Very true,5581,330,2023-01-18 16:34:42+00:00
134,elonmusk,"Media want to control what you know, which is why citizen journalism is essential https://t.co/cVL6C1VZXm",209450,35929,2023-01-18 16:30:55+00:00
135,elonmusk,@ElijahSchaffer An update to the For You algorithm included too many tweets from people users didn’t follow. That change has been reverted.,32987,2060,2023-01-18 11:02:06+00:00
136,elonmusk,@TaraBull808 Brief synchronization lag between our Atlanta &amp; Portland data centers,8062,479,2023-01-18 10:47:03+00:00
137,elonmusk,"@physorg_com @USC @PNASNews Maybe because it’s online &amp; social …

How is it possible that copycat propaganda is published simultaneously on so many legacy media channels? 

That is the question you should be asking.",63707,9470,2023-01-18 10:40:13+00:00
138,elonmusk,@EWoodhouse7 Interesting,3250,260,2023-01-18 08:37:38+00:00
139,elonmusk,@glennbeck @ShellenbergerMD Citizen journalism is vital to the future of civilization,98877,12442,2023-01-17 21:29:45+00:00
140,elonmusk,@mmm_machiavelli @ScottAdamsSays Wow,4467,347,2023-01-17 17:54:24+00:00
141,elonmusk,"The party is on!! 🚀 💫 ♥️
https://t.co/zoa3qmcXqC",149311,15371,2023-01-17 17:52:24+00:00
142,elonmusk,@ScottAdamsSays Would be great if someone could compile a game contest of who said the craziest stuff between 4chan and WEF! My money is on the latter.,39046,3821,2023-01-17 17:40:39+00:00
143,elonmusk,@karpathy Great thread,7416,346,2023-01-17 17:35:25+00:00
144,elonmusk,@TikTokInvestors Are these real? This video implies people physically show up to work.,103648,3590,2023-01-17 17:25:23+00:00
145,elonmusk,"Companies in general are missing the incredible opportunity that Twitter provides to reach customers. 

Just Tweet interesting things! That’s all it takes. https://t.co/XTzhNNwgt6",57965,6094,2023-01-17 17:20:58+00:00
146,elonmusk,The Car Aquatic https://t.co/P7KYF8J8HF,123941,10886,2023-01-17 17:15:51+00:00
147,elonmusk,@RobertKennedyJr The truth is finally coming out,119769,12973,2023-01-17 17:06:47+00:00
148,elonmusk,@RepTroyNehls Does seem odd,38161,2403,2023-01-17 16:59:15+00:00
149,elonmusk,@bgurley Wise words,7275,337,2023-01-17 16:55:57+00:00
150,elonmusk,"@Davos Population collapse is an existential problem for humanity, not overpopulation!",25513,5035,2023-01-17 09:11:37+00:00
151,elonmusk,"@foxmediallc @paulg Twitter Verified tweets are more likely to be recommended to others, as they are less likely to be bots or troll farms",3008,250,2023-01-17 08:26:48+00:00
152,elonmusk,@katewand @DrEliDavid @canuck741 Sounds accurate,2907,227,2023-01-17 08:19:00+00:00
153,elonmusk,"@BBCBreaking Government data has far more latency &amp; error than people think, which is why it’s so frequently restated, especially in a rapidly changing economy.

When the economy is not changing rapidly, actually measuring things isn’t important, as you can simply extrapolate from the past.",14913,1318,2023-01-17 08:08:51+00:00
154,elonmusk,@ImMeme0 Is it even possible to parody their tweets? I’m just literally wondering right now if it’s even possible 🤔,5496,417,2023-01-17 07:38:17+00:00
155,elonmusk,@MirrorinSpace @Brookstone23 @realchrisrufo @wef lol,1995,133,2023-01-17 06:38:11+00:00
156,elonmusk,"@paulg Looking at the comments, this social network might be trending positively towards positivity. We will try to make that more the case.",5540,297,2023-01-17 06:15:59+00:00
157,elonmusk,@weirdterrifying Nice,35471,923,2023-01-17 05:36:28+00:00
158,elonmusk,@KanekoaTheGreat Interesting thread,4538,612,2023-01-17 05:30:42+00:00
159,elonmusk,@JaneidyEve The recommendation algorithm will get much better and it will be open source,12213,862,2023-01-17 03:58:42+00:00
160,elonmusk,"@ScottAdamsSays “Master the Future” doesn’t sound ominous at all … 🙄

How is WEF/Davos even a thing? Are they trying to be the boss of Earth!?",98504,16169,2023-01-17 03:54:25+00:00
161,elonmusk,"Trashing accounts that you hate will cause our algorithm to show you more of those accounts, as it is keying off of your interactions.

Basically saying if you love trashing *that* account, then you will probably also love trashing *this* account. Not actually wrong lol.",200792,18884,2023-01-17 03:47:49+00:00
162,elonmusk,@BillyM2k Should Twitter keep it active?,29517,1296,2023-01-17 03:40:08+00:00
163,elonmusk,"@jacobin This is a rare case where I agree with Jacobin.

Increasing quality of life for the aged is important, but increased lifespan, especially if cognitive impairment is not addressed, is not good for civilization.

We are already ruled by a gerontocracy!",4341,453,2023-01-17 03:38:04+00:00
164,elonmusk,"@banthebbc BBC is at least honest that they are the *British* Broadcasting Corporation, unlike many others …",2394,216,2023-01-17 03:25:27+00:00
165,elonmusk,"@banthebbc Well, your account handle is literally BanTheBBC haha!

But that’s actually the point I was making: state influence/affiliation with media is far more common than most people realize – just look at how much Twitter/FB/Google have been influenced!",2225,270,2023-01-17 03:23:41+00:00
166,elonmusk,"@Brookstone23 @realchrisrufo @wef There are some really funny WEF parody accounts, although it’s legit hard to tell WEF truth from WEF parody sometimes!",3725,418,2023-01-17 03:16:50+00:00
167,elonmusk,"@realchrisrufo Sensible thread. 

We shouldn’t be obsessed with WEF/Davos, but they take themselves sooo seriously that making fun of them is awesome 😎",25529,2127,2023-01-17 03:10:32+00:00
168,elonmusk,@Jason Population collapse is a massive danger to the future of civilization!,7839,818,2023-01-17 03:06:03+00:00
169,elonmusk,"@ganaha_masako That is ironic indeed. Doubly so, given that Tesla Model Y is best-selling car in Switzerland! 🤣🤣
https://t.co/jdbiAOgcKc",7894,585,2023-01-17 03:04:30+00:00
170,elonmusk,@MrStevenSteele @appuntito160 True,2151,158,2023-01-17 02:36:24+00:00
171,elonmusk,@appuntito160 🤣🤣 he blocked me,6388,343,2023-01-17 02:33:44+00:00
172,elonmusk,@bfcarlson Worrisome,23288,1357,2023-01-17 02:02:45+00:00
173,elonmusk,@ScottAdamsSays He’s right,7585,429,2023-01-16 22:16:42+00:00
174,elonmusk,"@DJSnM @ThePrimalDino Center core moving too fast return. Falcon Heavy is a 3 (or 2.5) stage rocket, but full &amp; rapid reusability on Earth demand a 2 stage rocket.

1st stage returns to launch site immediately via boostback &amp; 2nd stage orbits until ground track passes back over launch site to return.",3240,200,2023-01-16 20:07:25+00:00
175,elonmusk,"@appuntito160 People on the right should see more “left wing” stuff and people on the left should see more “right wing” stuff.

But you can just block it if you want to stay in an echo chamber.",24795,2449,2023-01-16 19:56:29+00:00
176,elonmusk,"@DavidSacks The censorship tools were created to deal with scams &amp; spam, but then were turned to political purposes.

Those who favor censorship should remember that it is only a matter of time before censorship turns on you.

There will always be some censorship, but less is better.",37413,5586,2023-01-16 19:36:23+00:00
177,elonmusk,@stats_feed Exactly. Money is actually a set of heterogeneous databases with vast amounts of legacy code still using COBOL on mainframes in batch mode.,39918,3771,2023-01-16 19:25:23+00:00
178,elonmusk,"@DavidSacks @zerohedge Zerohedge can be jerks at times, but they did nothing warranting suspension",13759,918,2023-01-16 19:11:25+00:00
179,elonmusk,@stats_feed Sea water contains enough of every element to support &gt;10X current civilizational needs,68500,5826,2023-01-16 18:55:41+00:00
180,elonmusk,"@ShellenbergerMD @wef @Davos There should be a game show: “4Chan or Davos, who said it?”",40346,4006,2023-01-16 17:44:47+00:00
181,elonmusk,@stillgray Do you actually know where your money is going?,84890,5004,2023-01-16 05:11:57+00:00
182,elonmusk,Kudos to the BBC for self-labelling its state affiliation,152082,12047,2023-01-16 05:06:21+00:00
183,elonmusk,"@WallStreetSilv @nytimes @MSNBC @facebook @washingtonpost Technically, Twitter should have that label",20665,1178,2023-01-16 05:01:37+00:00
184,elonmusk,@budan_m 🔥,9334,202,2023-01-16 04:59:45+00:00
185,elonmusk,"@JohnRWoodJr @alexandrosM Sam has changed a lot, but I suppose so have we all",2387,134,2023-01-16 04:57:28+00:00
186,elonmusk,@engineers_feed Nuclear is way safer than coal,79796,5527,2023-01-16 03:32:52+00:00
187,elonmusk,@dogeofficialceo 🤣🔥,15052,492,2023-01-16 03:07:12+00:00
188,elonmusk,@Kristennetten @la_lkm @tmrohan Is this happening a lot?,2194,110,2023-01-16 03:00:49+00:00
189,elonmusk,@mtaibbi Taibbi ftw,25192,1645,2023-01-16 02:59:17+00:00
190,elonmusk,@tmrohan Not for long,26784,932,2023-01-16 02:52:20+00:00
191,elonmusk,@BillFOXLA Does seem seriously off the rails,12938,794,2023-01-16 02:46:23+00:00
